holder_name,held_name,stake_pct,filing_date,entity_type,holder_role,shares_held,held_scrip_code,as_on_date,group
GRASIM INDUSTRIES LIMITED,Aditya Birla Capital Ltd,53.06,2026-07-21,corporate,Promoter,1450703682,540691,2026-06-30,Aditya Birla
BIRLA GROUP HOLDINGS PRIVATE LIMITED,Aditya Birla Capital Ltd,8.12,2026-07-21,corporate,Promoter Group,221950922,540691,2026-06-30,Aditya Birla
PI OPPORTUNITIES FUND I,Aditya Birla Capital Ltd,2.9,2026-07-21,corporate,Public (>1%),79350373,540691,2026-06-30,Aditya Birla
MOTILAL OSWAL NIFTY 200 MOMENTUM 30 INDEX FUND,Aditya Birla Capital Ltd,2.08,2026-07-21,corporate,Public (>1%),56816071,540691,2026-06-30,Aditya Birla
ESSEL MINING & INDUSTRIES LTD,Aditya Birla Capital Ltd,1.96,2026-07-21,corporate,Promoter Group,53692810,540691,2026-06-30,Aditya Birla
LIFE INSURANCE CORPORATION OF INDIA,Aditya Birla Capital Ltd,1.48,2026-07-21,corporate,Public (>1%),40602681,540691,2026-06-30,Aditya Birla
HINDALCO INDUSTRIES LIMITED,Aditya Birla Capital Ltd,1.45,2026-07-21,corporate,Promoter Group,39511455,540691,2026-06-30,Aditya Birla
Surya Kiran Investments Pte Limited,Aditya Birla Capital Ltd,1.38,2026-07-21,corporate,Promoter Group,37649337,540691,2026-06-30,Aditya Birla
PILANI INVESTMENT AND INDUSTRIES,Aditya Birla Capital Ltd,1.23,2026-07-21,corporate,Promoter Group,33601721,540691,2026-06-30,Aditya Birla
P.T. Indo Bharat Rayon,Aditya Birla Capital Ltd,1.02,2026-07-21,corporate,Promoter Group,28005628,540691,2026-06-30,Aditya Birla
Suryaja Investments Pte. Ltd.,Aditya Birla Capital Ltd,0.21,2026-07-21,corporate,Promoter Group,5617661,540691,2026-06-30,Aditya Birla
Thai Rayon Public Company Limited,Aditya Birla Capital Ltd,0.1,2026-07-21,corporate,Promoter Group,2695000,540691,2026-06-30,Aditya Birla
KUMAR MANGALAM BIRLA,Aditya Birla Capital Ltd,0.08,2026-07-21,individual,Promoter Group,2268790,540691,2026-06-30,Aditya Birla
P T Sunrise Bumi Textiles,Aditya Birla Capital Ltd,0.06,2026-07-21,corporate,Promoter Group,1776250,540691,2026-06-30,Aditya Birla
P T elegant Textile Industry,Aditya Birla Capital Ltd,0.04,2026-07-21,corporate,Promoter Group,1132250,540691,2026-06-30,Aditya Birla
BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE,Aditya Birla Capital Ltd,0.03,2026-07-21,corporate,Promoter Group,925687,540691,2026-06-30,Aditya Birla
RAJASHREE BIRLA,Aditya Birla Capital Ltd,0.03,2026-07-21,individual,Promoter Group,773989,540691,2026-06-30,Aditya Birla
RENUKA INVESTMENTS AND FINANCE LIMITED,Aditya Birla Capital Ltd,0.01,2026-07-21,corporate,Promoter Group,339059,540691,2026-06-30,Aditya Birla
VASAVADATTA BAJAJ,Aditya Birla Capital Ltd,0.01,2026-07-21,individual,Promoter Group,165951,540691,2026-06-30,Aditya Birla
